iter	Passed	Remaining
0	156	156062
1	165	82753
2	178	59389
3	188	46878
4	197	39363
5	208	34539
6	217	30836
7	228	28347
8	240	26450
9	250	24764
10	262	23600
11	275	22671
12	287	21830
13	296	20899
14	307	20174
15	318	19581
16	327	18924
17	337	18428
18	347	17927
19	359	17623
20	370	17284
21	381	16958
22	393	16727
23	412	16758
24	423	16515
25	434	16261
26	442	15949
27	452	15700
28	460	15432
29	472	15278
30	482	15073
31	493	14917
32	503	14749
33	513	14583
34	529	14594
35	543	14545
36	555	14470
37	569	14411
38	586	14449
39	597	14345
40	606	14192
41	618	14109
42	630	14032
43	639	13887
44	651	13819
45	662	13741
46	670	13591
47	682	13532
48	694	13469
49	702	13345
50	712	13253
51	721	13152
52	732	13094
53	752	13175
54	765	13149
55	777	13110
56	789	13063
57	802	13030
58	815	13010
59	826	12951
60	838	12899
61	846	12809
62	857	12756
63	865	12662
64	875	12595
65	883	12505
66	893	12445
67	901	12358
68	913	12322
69	924	12279
70	932	12199
71	942	12149
72	952	12100
73	961	12029
74	973	12001
75	992	12067
76	1002	12017
77	1012	11968
78	1022	11919
79	1030	11849
80	1040	11802
81	1050	11762
82	1058	11698
83	1069	11657
84	1085	11681
85	1112	11827
86	1133	11895
87	1148	11898
88	1170	11981
89	1183	11964
90	1197	11960
91	1209	11939
92	1226	11960
93	1252	12076
94	1266	12061
95	1276	12024
96	1288	11997
97	1305	12014
98	1318	12003
99	1332	11996
100	1343	11960
101	1356	11945
102	1369	11924
103	1382	11909
104	1393	11874
105	1413	11921
106	1433	11960
107	1450	11982
108	1464	11974
109	1475	11940
110	1497	11991
111	1522	12067
112	1539	12081
113	1553	12077
114	1577	12136
115	1597	12172
116	1611	12162
117	1624	12139
118	1640	12146
119	1655	12142
120	1668	12117
121	1681	12100
122	1691	12061
123	1702	12028
124	1719	12034
125	1732	12014
126	1742	11979
127	1751	11930
128	1761	11894
129	1769	11845
130	1780	11810
131	1789	11766
132	1799	11732
133	1811	11709
134	1821	11669
135	1834	11652
136	1846	11633
137	1857	11604
138	1867	11569
139	1879	11546
140	1890	11515
141	1899	11475
142	1912	11459
143	1922	11429
144	1933	11400
145	1945	11378
146	1955	11349
147	1965	11317
148	1977	11296
149	1988	11270
150	1998	11235
151	2010	11216
152	2021	11189
153	2037	11195
154	2051	11183
155	2062	11159
156	2078	11160
157	2090	11139
158	2100	11112
159	2113	11093
160	2125	11078
161	2138	11061
162	2147	11028
163	2158	11000
164	2169	10980
165	2178	10946
166	2189	10919
167	2198	10888
168	2208	10858
169	2228	10878
170	2240	10862
171	2251	10837
172	2261	10809
173	2272	10788
174	2282	10761
175	2292	10732
176	2304	10716
177	2315	10693
178	2325	10664
179	2337	10647
180	2349	10632
181	2359	10606
182	2372	10590
183	2383	10571
184	2392	10541
185	2408	10540
186	2423	10536
187	2435	10520
188	2445	10492
189	2453	10459
190	2465	10443
191	2474	10413
192	2485	10391
193	2495	10368
194	2504	10339
195	2514	10314
196	2524	10288
197	2536	10272
198	2546	10249
199	2557	10229
200	2570	10217
201	2581	10197
202	2590	10168
203	2600	10147
